cycle,candidate_name,party
1968,George Wallace,Independent
1968,"Hubert Humphrey, Jr.",Democratic
1968,Richard M. Nixon,Republican
1972,George S. McGovern,Democratic
1972,Richard M. Nixon,Republican
1976,Gerald R. Ford,Republican
1976,Jimmy Carter,Democratic
1980,Jimmy Carter,Democratic
1980,John B. Anderson,Independent
1980,Ronald Reagan,Republican
1984,Ronald Reagan,Republican
1984,Walter F. Mondale,Democratic
1988,George Bush,Republican
1988,Michael S. Dukakis,Democratic
1992,Bill Clinton,Democratic
1992,George Bush,Republican
1992,H. Ross Perot,Independent
1996,Bill Clinton,Democratic
1996,Bob Dole,Republican
1996,H. Ross Perot,Independent
2000,Al Gore,Democratic
2000,George W. Bush,Republican
2000,Ralph Nader,Independent
2004,George W. Bush,Republican
2004,John Kerry,Democratic
2008,Barack Obama,Democratic
2008,John McCain,Republican
2012,Barack Obama,Democratic
2012,Mitt Romney,Republican
2016,Donald Trump,Republican
2016,Gary Johnson,Independent
2016,Hillary Rodham Clinton,Democratic
2020,Donald Trump,Republican
2020,Joseph R. Biden Jr.,Democratic
